"vanus";"pikkus";"kaal";"sugu"
"192";0,98831681158281;74;9,2;"N"
"193";0,897181595646715;73;9,7;"N"
"195";0,178624562826696;57;4,8;"N"
"196";0,387368734120267;62;6,5;"N"
"197";0,445411262735189;65;7,3;"N"
"198";0,556616691269668;67;8;"N"
"199";0,718124600984118;69;8,4;"N"
"201";0,789876522861336;73,5;9,4;"N"
"202";2,06059974377261;92,5;14,4;"M"
"203";0,271981039230493;62;6,7;"M"
"204";0,431711679483358;68;8,2;"M"
"205";0,504059863474852;70;8,9;"M"
"206";0,761116276226367;75;10,4;"M"
"207";0,97585278041658;79;12,1;"M"
"208";1,37778829296771;86;14,3;"M"
"209";0,211360535658161;60;5,8;"N"
"210";0,357743210363372;64;7,7;"N"
"211";0,573825974925187;67,5;7,5;"N"
"213";1,0339064552686;76,5;10,8;"N"
"214";1,39519411990839;82;12,5;"N"
"215";1,50050480406495;83;12,8;"N"
"216";2,00865424441816;90;14;"N"
"217";1,49394971246912;82,8;11;"M"
"218";0,973378973738888;75;10,3;"M"
"219";0,822689598534819;74;9,8;"M"
"220";0,750325985563816;73;9,5;"M"
"221";0,748392046152266;72;9,3;"M"
"222";0,520496582005085;71;8,7;"M"
"224";0,385542139756783;68;7,8;"M"
"225";0,470437821287886;65;7;"M"
"226";0,386033682126012;63;6,5;"M"
"227";0,313745217368817;62;5,5;"M"
"228";0,148179984358973;57;4,8;"M"
"229";0,0726531145402685;54,5;3,8;"M"
"230";0,168758367194136;57,5;5,9;"M"
"232";0,363389682809097;71;9,1;"M"
"233";0,479115424513052;72,5;9,6;"M"
"234";1,72405647809623;86,5;12,5;"M"
"236";1,33996394717392;82;12,8;"M"
"237";0,955455773371906;80,5;11,9;"M"
"238";0,95044780591738;79;11,8;"M"
"239";0,919326022118801;76;11;"M"
"240";0,672222360324271;75;10,5;"M"
"241";0,353401410186698;67;8,4;"M"
"243";0,20763961542694;62,5;6,7;"M"
"244";0,150897134124672;57;5;"M"
"246";0,143619054517338;54,9;3,2;"N"
"247";0,28588480665286;56,5;5,3;"N"
"249";0,6010540011965;64;7;"N"
"251";0,743522172976314;71;8,5;"N"
"252";0,817879536723004;72;9,2;"N"
"253";1,85995048631135;86;12,1;"N"
"254";1,65516516807434;84;12;"N"
"255";1,52472081582205;83;11,6;"N"
"257";1,08947722516220;75;9,7;"N"
"258";0,187773553523238;55;5;"M"
"259";0,365242914754583;64;6,7;"M"
"260";0,620424367824063;68;8;"M"
"262";1,12202575224703;75;9;"M"
"263";0,32968126168101;67;6,6;"M"
"265";0,617682714739426;70;8,3;"M"
"266";0,632689907834701;72;10,2;"M"
"267";1,21303539292847;84;13;"M"
"268";1,05197558364623;80,5;12,3;"M"
"269";0,83293971789038;77;11,4;"M"
"270";0,760017392042004;73;10;"M"
"272";0,315861924856255;63,5;7,3;"M"
"273";0,420183951795557;63;8,4;"M"
"274";0,643759165448466;69;9,3;"M"
"275";1,56869626424685;82;12;"M"
"276";1,16864887123644;79;11;"M"
"277";0,906181564261874;73;10,5;"M"
"278";0,658307612329304;72;10,3;"M"
"279";1,91510855045763;89;13,2;"M"
"280";0,0411;54;4,9;"M"
"281";0,158463367144253;59,5;5,7;"M"
"282";1,32333318293746;81;13,7;"M"
"285";0,633375186438735;77,5;10,4;"M"
"287";0,446039289771682;69,5;9,3;"M"
"288";0,467785145705708;66;7,4;"M"
"289";0,29907286338678;64;7,4;"M"
"290";0,185988778392091;59,5;5,4;"M"
"291";0,0770189954628162;59,5;4,4;"M"
"292";0,0411;51;3,8;"M"
"293";0,223807843237057;56;4,5;"M"
"295";0,323268859852004;63,5;7;"M"
"296";0,452463202578379;67;8,2;"M"
"297";2,07115600513698;88,5;13,5;"M"
"298";1,73581377866719;85;12,5;"M"
"299";1,49434801840552;84;12,5;"M"
"301";0,972623811415348;76;10,5;"M"
"303";0,611821233006758;73;9,1;"M"
"304";1,08602981283450;79;11,1;"M"
"305";0,0411;54,5;3,8;"M"
"306";0,103166013330207;57;5,4;"M"
"307";0,300524292852450;60;6,2;"M"
"308";0,281443891449149;62;6,9;"M"
"310";0,633587561891287;73;10,5;"M"
"311";0,928794027209927;79;11,1;"M"
"312";1,69000258512009;83,5;13,5;"M"
"313";1,01946898754992;79;11,1;"M"
"314";0,0769412068457435;53;3,8;"N"
"316";0,182165035546512;57;5,2;"N"
"317";0,335063969198462;58;5,9;"N"
"318";0,0996392077634093;65,5;4,7;"M"
"319";0,132768851209537;71;5;"M"
"320";0,342900606753206;72;7,5;"M"
"321";0,89943693551891;76,5;11,5;"M"
"322";0,403860867663419;76;9,5;"M"
"323";0,706655697322224;77;10,1;"M"
"324";0,416347323013602;73,5;8,9;"M"
"325";0,199215893913683;59,5;5;"N"
"326";0,319253841450853;61;5,6;"N"
"327";0,371652404609099;62,5;6;"N"
"328";0,0597059358842209;54,5;4,4;"N"
"329";0,575636736093292;65;6,8;"N"
"330";0,584566636208185;67;7,8;"N"
"332";1,318237922659;77;8,5;"N"
"333";1,07181815085357;74,5;8,4;"N"
"334";0,79846735690899;72,5;7,4;"N"
"337";0,305112828834624;62;6,7;"N"
"338";0,224788592591476;60;6,4;"N"
"339";0,188201806641168;58,5;6;"N"
"341";0,464640478619299;67;8,2;"N"
"342";0,667907989566837;67;8,5;"N"
"343";1,68458218639929;84,2;12;"N"
"344";1,58488260741968;80;11,3;"N"
"345";1,06277604210243;77;10,4;"N"
"346";0,861813086458928;75;9;"N"
"347";0,908696960470342;73,7;10,7;"N"
"348";0,744665071501281;71;10,3;"N"
"349";0,128060694130448;53;4,7;"N"
"350";0,141029643971318;58;5,5;"N"
"351";0,250497922686000;63;6,5;"N"
"352";0,422957906880687;64;6,8;"N"
"353";0,320426654518534;65;7;"N"
"354";0,481124746911262;68;8,1;"N"
"355";0,685830672901040;69;9,2;"N"
"357";0,954174371210842;73,5;10,1;"N"
"358";0,955121641792651;74;10,7;"N"
"359";0,971430190104325;77,5;11,5;"N"
"360";1,93981762604734;86;13,9;"N"
"361";1,77558639126017;86,5;16;"M"
"362";1,48794197596457;84;13,5;"M"
"363";0,980379014632692;78;12;"M"
"365";0,840854912045422;75,5;10,7;"M"
"366";0,788200388071341;73;10,6;"M"
"367";0,757591521393453;70;9,2;"M"
"368";0,605000017805654;69;9;"M"
"369";0,463877760244084;68,5;8,4;"M"
"370";0,467611791427948;65;8,5;"M"
"371";0,246667041394474;63;7,4;"M"
"372";0,278687782502963;61;6,5;"M"
"373";0,169824422006495;59;5,5;"M"
"374";0,0411;55,5;4,7;"M"
"375";0,128113660984265;53;3,9;"N"
"377";0,456135788377732;66;8;"N"
"378";0,58512740081221;69;8,7;"N"
"379";0,646497307388626;71;10;"N"
"380";0,72141900763404;71;9,6;"N"
"381";0,993467019899798;77;11;"N"
"382";1,24899552750228;81,5;11,5;"N"
"383";0,153068428480083;56;5;"M"
"385";0,415315134719517;63,5;6,6;"M"
"386";0,53194588565457;70;8;"M"
"387";1,14851883732173;81,5;12;"M"
"388";0,600526293303743;68,5;8;"N"
"389";0,914138792082268;73;9,6;"N"
"391";0,43129574259146;64;6,9;"N"
"392";0,159542276469790;59;4,8;"N"
"393";0,256865644314649;59;6;"N"
